collectorNumber,foiled,inMyTradelist,inMyCollection,inMyWantlist,name_en,name_fr,faction,rarity,type,handCost,reserveCost,forestPower,mountainPower,waterPower,landmarksSize,reserveSize,abilities_en,supportAbility_en,abilities_fr,supportAbility_fr,id,imagePath
BTG-065-F-EN,False,0,1,False,Ouroboros Trickster,Prestidigitatrice de l'Ouroboros,Bravos,Rare,Character,2,1,0,0,0,,,"{J} Roll a die. On a 4+, I gain 2 boosts. On a 1-3, I gain 1 boost.",,"{J} Lancez un dé. Sur 4+, je gagne 2 boosts. Sur 1-3, je gagne 1 boost.",,ALT_CORE_B_LY_06_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_06/JPG/en_US/0610ab90790c9a5220e475c227f4fd8a.jpg
BTG-066-C-EN,False,0,3,False,Esmeralda,Esmeralda,Lyra,Common,Character,2,2,0,2,2,,,{H} [Resupply]. (Put the top card of your deck in Reserve.),,{H} [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_LY_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_11/JPG/en_US/a540fb4aaaacf905ca7c0c2243cc29c8.jpg
BTG-066-R-EN,False,0,1,False,Esmeralda,Esmeralda,Lyra,Rare,Character,2,#3#,0,2,2,,,#{J}# [Resupply]. (Put the top card of your deck in Reserve.),,#{J}# [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.),,ALT_CORE_B_LY_11_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_11/JPG/en_US/410d25c58ecde45650e2005f9cf9f2eb.jpg
BTG-067-C-EN,False,0,5,False,Lyra Skald,Skald Lyra,Lyra,Common,Character,2,2,3,0,2,,,,,,,ALT_CORE_B_LY_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_08/JPG/en_US/a3e0882de5289360a6783b085d641a47.jpg
BTG-067-R-EN,False,0,1,False,Lyra Skald,Skald Lyra,Lyra,Rare,Character,2,2,3,0,2,,,#{H} You may discard a card from your Reserve to [Resupply].# (Put the top card of your deck in Reserve.),#{D} : The next card you play this turn costs {1} less.# (Discard me from Reserve to do this.),#{H} Vous pouvez défausser une carte de votre Réserve pour [Ravitailler].# (Mettez la première carte de votre deck en Réserve.),#{D} : La prochaine carte que vous jouez ce tour coûte {1} de moins.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_08_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_08/JPG/en_US/5d116a2a2925e7eda9ed4a6a5e95eae4.jpg
BTG-068-C-EN,False,0,2,False,Lyra Thespian,Comédien Lyra,Lyra,Common,Character,2,2,2,2,2,,,"{J} If you have three or more base statistics of 0 among Characters you control, I gain 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Si vous avez au moins trois statistiques de base 0 parmi les Personnages que vous contrôlez, je gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_05/JPG/en_US/facaacb1be47df56a2dffc1aebbdee87.jpg
BTG-068-R-EN,False,0,1,False,Lyra Thespian,Comédien Lyra,Lyra,Rare,Character,2,2,2,2,2,,,"{J} If you have three or more base statistics of 0 among Characters you control, I gain #2 boosts#.",,"{J} Si vous avez au moins trois statistiques de base 0 parmi les Personnages que vous contrôlez, je gagne #2 boosts#.",,ALT_CORE_B_LY_05_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_05/JPG/en_US/230739f9df3cef88e7d92cea850c21ef.jpg
BTG-069-C-EN,False,0,4,False,Hathor,Hathor,Lyra,Common,Character,2,3,3,3,0,,,,{D} : Return another card from your Reserve to your hand. (Discard me from Reserve to do this.),,{D} : Renvoyez une autre carte de votre Réserve dans votre main. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_07/JPG/en_US/96b0b190cf2c2ab3d8d4e26951ff9b93.jpg
BTG-070-C-EN,False,0,1,False,Lyra Navigator,Navigatrice Lyra,Lyra,Common,Character,2,3,0,0,4,,,,,,,ALT_CORE_B_LY_12_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_12/JPG/en_US/feef363522115a5f8351ea466ad89f01.jpg
BTG-070-F-EN,False,0,1,False,Lyra Navigator,Navigatrice Lyra,Bravos,Rare,Character,2,3,0,0,4,,,,,,,ALT_CORE_B_LY_12_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_12/JPG/en_US/0dc599706d897fbafaa2d0f5d2424b6f.jpg
BTG-071-C-EN,False,0,1,False,Anansi,Anansi,Lyra,Common,Character,3,2,2,2,2,,,{J} I gain 1 boost[] for each card in your Reserve. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,{J} Je gagne 1 boost[] pour chaque carte dans votre Réserve. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_LY_13_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_13/JPG/en_US/e9eeec85a23ff3010d4fca6c0b14e13e.jpg
BTG-071-R-EN,False,0,1,False,Anansi,Anansi,Lyra,Rare,Character,3,2,#0#,#0#,#0#,,,{J} I gain 1 boost for each card #in each player's Reserve#.,,{J} Je gagne 1 boost pour chaque carte #dans la Réserve de chaque joueur#.,,ALT_CORE_B_LY_13_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_13/JPG/en_US/d493ddf178a05cfc21a5da6cd08c28eb.jpg
BTG-072-C-EN,False,0,4,False,Lyra Cloth Dancer,Danseuse d'Étoffe Lyra,Lyra,Common,Character,3,2,0,3,2,,,"{H} Up to one target Character gains [[Fleeting]]. (If it would be sent to Reserve, discard it instead.)",,"{H} Jusqu'à un Personnage ciblé gagne [[Fugace]]. (S'il devait être envoyé en Réserve, défaussez-le à la place.)",,ALT_CORE_B_LY_14_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_14/JPG/en_US/884a738030805c8d70ed4ed77fde1378.jpg
BTG-073-C-EN,False,0,4,False,Lyra Chronicler,Chroniqueuse Lyra,Lyra,Common,Character,3,3,4,0,4,,,,,,,ALT_CORE_B_LY_16_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_16/JPG/en_US/f62cad9e3e52c0f849a30ec726f5b81b.jpg
BTG-074-C-EN,False,0,1,False,Ouroboros Inkcaster,Encrière de l'Ouroboros,Lyra,Common,Character,3,3,3,3,2,,,When I go to Reserve from the Expedition zone — You may return another card from your Reserve to your hand.,,Lorsque je vais en Réserve depuis la zone d'Expédition — Vous pouvez renvoyer une autre carte de votre Réserve dans votre main.,,ALT_CORE_B_LY_10_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_10/JPG/en_US/51c1b22b5141cc648e0d68929f53729b.jpg
BTG-075-C-EN,False,0,3,False,Tanuki,Tanuki,Lyra,Common,Character,3,3,3,3,0,,,{H} [Sabotage]. (Discard up to one target card from a Reserve.),,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_CORE_B_LY_09_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_09/JPG/en_US/d58471ce0ab23976756aea72db557c3a.jpg
BTG-075-R-EN,False,0,2,False,Tanuki,Tanuki,Lyra,Rare,Character,3,3,3,3,0,,,"{H} [Sabotage]. (Discard up to one target card from a Reserve.)  #{R} Roll a die. On a 4+, [Sabotage].#",,"{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.)  #{R} Lancez un dé. Sur 4+, [Sabotez].#",,ALT_CORE_B_LY_09_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_09/JPG/en_US/6802e8b03fcf6e4dc17ab8247e0149bd.jpg
BTG-075-F-EN,False,0,1,False,Tanuki,Tanuki,Bravos,Rare,Character,3,3,3,3,0,,,{H} [Sabotage]. (Discard up to one target card from a Reserve.),,{H} [Sabotez]. (Défaussez jusqu'à une carte d'une Réserve.),,ALT_CORE_B_LY_09_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_09/JPG/en_US/98c3defb22467647c370e0f73b1792e0.jpg
BTG-076-C-EN,False,0,3,False,The Sandman,Le Marchand de Sable,Lyra,Common,Character,3,3,0,3,3,,,"{H} Up to one target Character gains [[Asleep]]. (During Dusk, ignore its statistics. During Rest, it doesn't go to Reserve and it loses Asleep.)",,"{H} Jusqu'à un Personnage ciblé gagne [[Endormi]]. (Au Crépuscule, ignorez ses statistiques. Au Repos, il ne va pas en Réserve et il perd Endormi.)",,ALT_CORE_B_LY_15_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_15/JPG/en_US/4db1f528835953a7d379f66a6a445619.jpg
BTG-077-C-EN,False,0,5,False,Ouroboros Croupier,Croupière de l'Ouroboros,Lyra,Common,Character,4,4,0,4,4,,,"{H} Roll a die. On a 4+, draw a card. On a 1-3, [Resupply]. (Put the top card of your deck in Reserve.)",,"{H} Lancez un dé. Sur 4+, piochez une carte. Sur 1-3, [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.)",,ALT_CORE_B_LY_17_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_17/JPG/en_US/eb6bbff212d2490e78efc7f81956c56d.jpg
BTG-077-F-EN,False,0,1,False,Ouroboros Croupier,Croupière de l'Ouroboros,Axiom,Rare,Character,4,4,0,#5#,#5#,,,"{H} Roll a die. On a 4+, draw a card. On a 1-3, [Resupply]. (Put the top card of your deck in Reserve.)",#{D} : The next card you play this turn costs {1} less.# (Discard me from Reserve to do this.),"{H} Lancez un dé. Sur 4+, piochez une carte. Sur 1-3, [Ravitaillez]. (Mettez la première carte de votre deck en Réserve.)",#{D} : La prochaine carte que vous jouez ce tour coûte {1} de moins.# (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_17_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_17/JPG/en_US/454bdf00c89085420d1ac1d6e96b5687.jpg
BTG-078-C-EN,False,0,4,False,The Hatter,Le Chapelier,Lyra,Common,Character,4,5,5,5,0,,,,{D} : Target Character with Hand Cost {3} or less gains [[Anchored]]. (Discard me from Reserve to do this.),,{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne [[Ancré]]. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_18_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_18/JPG/en_US/3d10345a94eabb922b7590285aab7046.jpg
BTG-078-F-EN,False,0,2,False,The Hatter,Le Chapelier,Bravos,Rare,Character,4,5,5,5,0,,,,{D} : Target Character with Hand Cost {3} or less gains [[Anchored]]. (Discard me from Reserve to do this.),,{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne [[Ancré]]. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_18_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_18/JPG/en_US/fabd40ce96f42ae4a91c5627d0f8f7d5.jpg
BTG-079-C-EN,False,0,2,False,"Amahle, Asgarthan Outcast","Amahle, Paria Asgarthi",Lyra,Common,Character,5,5,5,5,5,,,{J} You may discard a card from your Reserve to draw a card.,,{J} Vous pouvez défausser une carte de votre Réserve pour piocher une carte.,,ALT_CORE_B_LY_19_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_19/JPG/en_US/fd31278702ff7b52bcef51a238252ee7.jpg
BTG-080-C-EN,False,0,3,False,Asmodeus,Asmodée,Lyra,Common,Character,6,6,5,5,5,,,"{J} Roll a die. On a 4+, I gain [[Anchored]]. On a 1-3, I gain 3 boosts[]. (During Rest, I don't go to Reserve and I lose Anchored. A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Lancez un dé. Sur 4+, je gagne [[Ancré]]. Sur 1-3, je gagne 3 boosts. (Au Repos, je ne vais pas en Réserve et je perds Ancré. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_20_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_20/JPG/en_US/49348f2439bf0ab45e6fcfd92313c0ea.jpg
BTG-080-R-EN,False,0,1,False,Asmodeus,Asmodée,Lyra,Rare,Character,#5#,#5#,#4#,#4#,#4#,,,"{J} Roll a die. On a 4+, I gain [[Anchored]]. On a 1-3, I gain 3 boosts[]. (During Rest, I don't go to Reserve and I lose Anchored. A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"{J} Lancez un dé. Sur 4+, je gagne [[Ancré]]. Sur 1-3, je gagne 3 boosts. (Au Repos, je ne vais pas en Réserve et je perds Ancré. Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_20_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_20/JPG/en_US/0fdeca5d4a57b107447522c535a1b6c6.jpg
BTG-081-C-EN,False,0,2,False,Loki,Loki,Lyra,Common,Character,7,5,5,5,5,,,"{H} Each player discards their hand, then draws three cards.",,"{H} Chaque joueur défausse sa main, puis pioche trois cartes.",,ALT_CORE_B_LY_21_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_21/JPG/en_US/7a5356051847562c86d84ec5b0624834.jpg
BTG-081-C-EN,False,0,1,False,Loki,Loki,Lyra,Common,Character,7,5,5,5,5,,,"{H} Each player discards their hand, then draws three cards.",,"{H} Chaque joueur défausse sa main, puis pioche trois cartes.",,ALT_COREKS_B_LY_21_C,https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_COREKS_B_LY_21/JPG/en_US/083a1f9aa69aba0f33dc1728024ed8a2.jpg
BTG-082-C-EN,False,0,1,False,A Cappella Training,Entraînement A Cappella,Lyra,Common,Spell,1,1,,,,,,"Target Character gains [[Fleeting]]. (If it would be sent to Reserve, discard it instead.)",,"Un Personnage ciblé gagne [[Fugace]]. (S'il devait être envoyé en Réserve, défaussez-le à la place.)",,ALT_CORE_B_LY_22_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_22/JPG/en_US/02f06d08e67e9a4fbbbcdbc30865bd4c.jpg
BTG-082-F-EN,False,0,1,False,A Cappella Training,Entraînement A Cappella,Muna,Rare,Spell,1,1,,,,,,"Target Character gains [[Fleeting]]. (If it would be sent to Reserve, discard it instead.)",,"Un Personnage ciblé gagne [[Fugace]]. (S'il devait être envoyé en Réserve, défaussez-le à la place.)",,ALT_CORE_B_LY_22_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_22/JPG/en_US/2723e898ca01cdb5e567096bbaf2772e.jpg
BTG-083-C-EN,False,0,1,False,Ride the Bifröst,Franchir le Bifröst,Lyra,Common,Spell,2,2,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  All Characters you control switch Expeditions. (They leave their Expeditions and join their controller's other Expedition.),,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Chaque Personnage que vous contrôlez change d'Expédition. (Il quitte son Expédition et rejoint l'autre Expédition de son contrôleur.),,ALT_CORE_B_LY_28_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_28/JPG/en_US/ce6fb3f8649934ab381d23b33ebd2da6.jpg
BTG-084-C-EN,False,0,1,False,Twinkle Twinkle,"Meunier, Tu Dors",Lyra,Common,Spell,2,2,,,,,,"Target Character gains [[Asleep]]. (During Dusk, ignore its statistics. During Rest, it doesn't go to Reserve and it loses Asleep.)",{D} : The next card you play this turn costs {1} less. (Discard me from Reserve to do this.),"Un Personnage ciblé gagne [[Endormi]]. (Au Crépuscule, ignorez ses statistiques. Au Repos, il ne va pas en Réserve et il perd Endormi.)",{D} : La prochaine carte que vous jouez ce tour coûte {1} de moins. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_LY_23_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_23/JPG/en_US/9e4235c129c1a08c4566e2dff92bbee5.jpg
BTG-085-C-EN,False,0,4,False,All In!,Tapis !,Lyra,Common,Spell,3,3,,,,,,"Roll a die. Target Character gains X boosts[], where X is the result. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.)",,"Lancez un dé. Un Personnage ciblé gagne X boosts[], X étant le résultat. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.)",,ALT_CORE_B_LY_25_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_25/JPG/en_US/b9bebd8514db410547a9c7a3be40242f.jpg
BTG-087-C-EN,False,0,5,False,Paint Prison,Prison de Peinture,Lyra,Common,Spell,5,5,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  You may discard a card from your Reserve to reduce my cost by {2}.  Return target Character or Permanent to the top of its owner's deck.,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Vous pouvez défausser une carte de votre Réserve pour réduire mon coût de {2}.  Renvoyez un Personnage ou Permanent ciblé sur le dessus du deck de son propriétaire.,,ALT_CORE_B_LY_26_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_26/JPG/en_US/a82da0b9c75a82a9cb429456f3d1733f.jpg
BTG-087-R-EN,False,0,1,False,Paint Prison,Prison de Peinture,Lyra,Rare,Spell,#4#,#4#,,,,,,[[Fleeting]]. (Send me to Discard instead of Reserve after my effect resolves.)  You may discard a card from your Reserve to reduce my cost by #{1}#.  Return target Character or Permanent to the top of its owner's deck.,,[[Fugace]]. (Envoyez-moi à la Défausse plutôt qu'en Réserve après résolution de mon effet.)  Vous pouvez défausser une carte de votre Réserve pour réduire mon coût de #{1}#.  Renvoyez un Personnage ou Permanent ciblé sur le dessus du deck de son propriétaire.,,ALT_CORE_B_LY_26_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_26/JPG/en_US/69e8e563c638a96f4b2eb5d16050f47c.jpg
BTG-089-C-EN,False,0,2,False,Lyra Festival,Festival Lyra,Lyra,Common,Permanent,4,4,,,,,,"{J} Draw a card.  At Dusk, if you control a [[Fleeting]] Character, another [[Anchored]] Character and yet another [[Asleep]] Character — You win the game.",,"{J} Piochez une carte.  Au Crépuscule, si vous contrôlez un Personnage [[Fugace]], un autre Personnage [[Ancré]], et encore un Personnage [[Endormi]] — vous gagnez la partie.",,ALT_CORE_B_LY_29_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_29/JPG/en_US/6adbd60d42eadb894ad1c852f8e084bd.jpg
BTG-090-C-EN,False,0,1,False,"The Ouroboros, Lyra Bastion","L'Ouroboros, Bastion Lyra",Lyra,Common,Permanent,4,4,,,,,,"If you would roll one or more dice, instead roll that many dice plus one and ignore the roll of your choice.",,"Si vous deviez lancer au moins un dé, lancez un dé supplémentaire et ignorez le résultat du dé de votre choix.",,ALT_CORE_B_LY_30_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_30/JPG/en_US/3dfb180e43fa88c5baa6b094e8e4a9f6.jpg
BTG-090-R-EN,False,0,2,False,"The Ouroboros, Lyra Bastion","L'Ouroboros, Bastion Lyra",Lyra,Rare,Permanent,#3#,#3#,,,,,,"If you would roll one or more dice, instead roll that many dice plus one and ignore the roll of your choice.",,"Si vous deviez lancer au moins un dé, lancez un dé supplémentaire et ignorez le résultat du dé de votre choix.",,ALT_CORE_B_LY_30_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_30/JPG/en_US/54a3e18b5a74901c2f304fc2059edaf6.jpg
BTG-091-H-EN,False,0,4,False,Teija & Nauraa,Teija & Nauraa,Muna,Common,Hero,,,,,,2,2,The first Character you play each Afternoon gains 1 boost[]. (A boost is a +1/+1/+1 counter. Remove it when it leaves the Expedition zone.),,Le premier Personnage que vous jouez chaque Après-midi gagne 1 boost[]. (Un boost est un compteur +1/+1/+1. Retirez-le lorsqu'il quitte la zone d'Expédition.),,ALT_CORE_B_MU_01_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_01/JPG/en_US/f7a75cbde161ca62bd43d53f1b7ba46f.jpg
BTG-093-H-EN,False,0,1,False,Rin & Orchid,Rin & Orchid,Muna,Common,Hero,,,,,,2,2,"When one of your Expeditions moves forward due to {V} — Draw a card, then put a card from your hand in Reserve.",,"Lorsqu'une de vos Expéditions avance grâce à {V} — Piochez une carte, puis mettez une carte de votre main en Réserve.",,ALT_CORE_B_MU_03_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_03/JPG/en_US/28a7ab8d0bfbc92f031293d005c610e5.jpg
BTG-094-C-EN,False,0,1,False,Muna Caregiver,Soigneuse Muna,Muna,Common,Character,1,1,0,1,0,,,,{D} : Target Character with Hand Cost {3} or less gains [[Anchored]]. (Discard me from Reserve to do this.),,{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne [[Ancré]]. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_MU_04_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_04/JPG/en_US/aa9fd057748826c4d0ed49dc84f56813.jpg
BTG-094-R-EN,False,0,1,False,Muna Caregiver,Soigneuse Muna,Muna,Rare,Character,1,1,#1#,#2#,0,,,,{D} : Target Character with Hand Cost {3} or less gains [[Anchored]]. (Discard me from Reserve to do this.),,{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne [[Ancré]]. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_MU_04_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_04/JPG/en_US/55a43c313489d82032655f42dc9249ca.jpg
BTG-094-F-EN,False,0,1,False,Muna Caregiver,Soigneuse Muna,Yzmir,Rare,Character,1,1,0,1,0,,,,{D} : Target Character with Hand Cost {3} or less gains [[Anchored]]. (Discard me from Reserve to do this.),,{D} : Un Personnage ciblé de Coût de Main {3} ou moins gagne [[Ancré]]. (Défaussez-moi de la Réserve pour ça.),ALT_CORE_B_MU_04_R2,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_04/JPG/en_US/722c00c47add6b52fb10ac87cdb7547b.jpg
BTG-095-C-EN,False,0,2,False,Spindle Harvesters,Vendangeurs du Fuseau,Muna,Common,Character,1,1,1,0,0,,,"{J} I gain [[Anchored]]. (During Rest, I don't go to Reserve and I lose Anchored.)",,"{J} Je gagne [[Ancré]]. (Au Repos, je ne vais pas en Réserve et je perds Ancré.)",,ALT_CORE_B_MU_06_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_06/JPG/en_US/6ba762d4e94127b3d5102814f69da664.jpg
BTG-096-C-EN,False,0,1,False,Mowgli,Mowgli,Muna,Common,Character,2,1,3,0,0,,,,,,,ALT_CORE_B_MU_07_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_07/JPG/en_US/08a15afe72ce4f285766c8e9ebc475d5.jpg
BTG-097-C-EN,False,0,1,False,Kitsune,Kitsune,Muna,Common,Character,2,2,0,3,2,,,{H} Each player draws a card.,,{H} Chaque joueur pioche une carte.,,ALT_CORE_B_MU_05_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_05/JPG/en_US/71083af2e6704097a3c54ebe5fb5af73.jpg
BTG-097-R-EN,False,0,1,False,Kitsune,Kitsune,Muna,Rare,Character,2,2,0,3,#3#,,,{H} Each player #may [Resupply]#. (Put the top card of their deck in Reserve.),,{H} Chaque joueur #peut [Ravitailler]#. (Mettre la première carte de son deck en Réserve.),,ALT_CORE_B_MU_05_R1,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_05/JPG/en_US/eefc8f5701fcd8fb3abe3053a87b44c8.jpg
BTG-098-C-EN,False,0,2,False,Kodama,Kodama,Muna,Common,Character,2,2,3,3,3,,,"{H} I gain [[Asleep]]. (During Dusk, ignore my statistics. During Rest, I don't go to Reserve and I lose Asleep.)",,"{H} Je gagne [[Endormi]]. (Au Crépuscule, ignorez mes statistiques. Au Repos, je ne vais pas en Réserve et je perds Endormi.)",,ALT_CORE_B_MU_09_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_09/JPG/en_US/1424330a3b1d92d6c509b6753425264b.jpg
BTG-099-C-EN,False,0,2,False,Sneezer Shroom,Champignon Éternueur,Muna,Common,Character,2,2,1,1,1,,,"{J} I gain [[Anchored]]. (During Rest, I don't go to Reserve and I lose Anchored.)",,"{J} Je gagne [[Ancré]]. (Au Repos, je ne vais pas en Réserve et je perds Ancré.)",,ALT_CORE_B_MU_08_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_08/JPG/en_US/f967565147fca4c5c1b467a5ff765d29.jpg
BTG-101-C-EN,False,0,1,False,Inari,Inari,Muna,Common,Character,3,2,3,1,3,,,,,,,ALT_CORE_B_MU_11_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_11/JPG/en_US/d9d76dc1f9e413abc27d32bfe9da8add.jpg
BTG-105-C-EN,False,0,1,False,Dracaena,Dracaena,Muna,Common,Character,3,3,0,2,2,,,"{J} I gain [[Anchored]]. (During Rest, I don't go to Reserve and I lose Anchored.)  At Noon — I gain 1 boost.",,"{J} Je gagne [[Ancré]]. (Au Repos, je ne vais pas en Réserve et je perds Ancré.)  À Midi — Je gagne 1 boost.",,ALT_CORE_B_MU_15_C,https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_15/JPG/en_US/71a18b60e1e62a2a3032f0dd4d1558a4.jpg
